CHEMISTRY,NAME,human_CL_mL_min_kg,rat_CL_mL_min_kg,dog_CL_mL_min_kg,monkey_CL_mL_min_kg,human_VDss_L_kg,rat_VDss_L_kg,dog_VDss_L_kg,monkey_VDss_L_kg,human_fup,rat_fup,dog_fup,monkey_fup
Cn1nnnc1SCC(CS2)=C(C(=O)O)N([C@H]23)C(=O)[C@@]3(OC)NC(=O)C4SC(S4)=C(C(=O)N)C(=O)O,Cefotetan,0.42,12.78,4,1.7,0.13,0.25,0.25,0.17,0.15,0.7,0.6,0.13
O=C(N)OCC(CS1)=C(C(=O)O)N([C@H]12)C(=O)[C@@]2(OC)NC(=O)Cc3sccc3,Cefoxitin,3.6,,11,,0.17,,0.6,,0.73,,,
c1ccn[n+](c12)ccn2CC(CS3)=C(C([O-])=O)N([C@H]34)C(=O)[C@H]4NC(=O)/C(=N\OC)c5nc(sn5)N,Cefozopran,2.1,9.4,3,1.9,0.24,0.2,0.2,0.2,0.7386,0.93,0.9,0.9
OS(=O)(=O)CCc1cc[n+](cc1)CC(CS2)=C(C([O-])=O)N([C@H]23)C(=O)[C@H]3NC(=O)[C@@H](c4ccccc4)NC(=O)c5nc[nH]c5C(=O)O,Cefpimizole,1.7,,0.6,3,0.21,,0.2,0.3,,,0.07,
Cn1nnnc1SCC(CS2)=C(C(=O)O)N([C@H]23)C(=O)[C@H]3NC(=O)[C@@H](c4ccc(O)cc4)NC(=O)c5c(=O)cc(C)[nH]c5,Cefpiramide,0.48,9.5,5.7,0.5,0.15,0.26,0.49,0.1,0.03,0.54,0.7,0.07
Nc1scc(n1)/C(=N/OC)C(=O)N[C@@H]2C(=O)N([C@@H]23)C(C([O-])=O)=C(CS3)C[n+](ccc4)c(c45)CCC5,Cefpirome,1.9,9.5,3.2,2.4,0.24,0.3,0.22,0.27,0.9,,0.5423,0.4458
c1cccc[n+]1CC(CS2)=C(C([O-])=O)N([C@H]23)C(=O)[C@H]3NC(=O)/C(=N\OC(C)(C)C(=O)O)c4nc(N)sc4,Ceftazidime,2.4,8.7,3.2,2.1,0.31,0.3,0.21,0.26,0.79,,1,0.9451
S1CC=C(C(=O)O)N([C@H]12)C(=O)[C@H]2NC(=O)/C(=N\OC)c3nc(N)sc3,Ceftizoxime,2.1,19.33,3.25,5.93,0.2,0.54,0.27,0.29,0.72,0.7,0.83,0.662
Nc1scc(n1)/C(=N/OC)C(=O)N[C@@H]2C(=O)N([C@@H]23)C(C(=O)O)=C(CS3)CSc4nc(=O)c(=O)[nH]n4C,Ceftriaxone,0.26,20,3.95,0.19,0.09,1,0.25,0.11,0.052,0.071,0.7172,0.0487
O=C(N)OCC(CS1)=C(C(=O)O)N([C@H]12)C(=O)[C@H]2NC(=O)/C(=N\OC)c3occc3,Cefuroxime,2.2,,5,,0.15,,1.5,,0.36,,,
CC(C)C[C@@H](B(O)O)NC(=O)[C@H]([C@H](O)C)NC(=O)c1nc(ccc1)-c2ccccc2,CEP-18770,0.29,3.17,,,0.87,18.1,,,,,,
S1CC(C)=C(C(=O)O)N([C@H]12)C(=O)[C@H]2NC(=O)[C@H](N)c3ccccc3,Cephalexin,3.9,24.2,,,0.21,0.85,,,0.85,,,
S1CC(C)=C(C(=O)O)N([C@H]12)C(=O)[C@H]2NC(=O)[C@H](N)C3=CCC=CC3,Cephradine,3.3,21.7,,,0.21,1.1,,,0.95,,,
Fc1ccc(cc1)-c2c(COC)c(C(C)C)nc(C(C)C)c2/C=C/[C@@H](O)C[C@@H](O)CC(=O)O,Cerivastatin,2.9,27,,,0.33,3,,,0.01,,,
c1cc(Cl)cc(c1=2)=C(N(O)CC(\N2)=N\C)c3ccccc3,Chlordiazepoxide,0.37,7.8,,,0.25,1.3,,,0.056,0.15,,
CCC#CC[C@H](C)[C@H](O)C#C[C@@H]([C@H](O)C1)[C@H]([C@H]12)CC(\C2)=C\COCC(=O)O,Cicaprost,3.8,49,,14.3,0.08,1,,1.2,,,,
OP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,Cidofovir,2.5,0.7,,3.5,0.49,2,,0.8,1,1,,
C1CNCCN1c(c(F)c2)cc(c23)n(C4CC4)cc(c3=O)C(=O)O,Ciprofloxacin,8.3,27,18,4.7,2.1,4.6,3.1,1.8,0.7,0.79,0.8772,0.5505
Fc1ccc(cc1)C(OC2)(CCCN(C)C)c(c23)ccc(c3)C#N,Citalopram,4.3,82,14,40,12,21,10,10,0.2,0.26,0.4444,0.3989
Nc1nc(Cl)nc(c12)n(cn2)[C@@H]3O[C@@H]([C@@H](O)C3)CO,Cladribine,14,25.3,,,7.7,4.5,,,0.79,,,
Cc1ccc(nc1)S(=O)(=O)Nc2nc(-c3cc(ncc3)-c4n[nH]nn4)nc(OCCO)c2Oc5c(OC)cccc5,Clazosentan,10.5,11.7,2.89,19,0.23,0.32,0.11,0.36,,,,
Clc1cccc(c1Cl)C2C(=C(C)NC(C)=C2C(=O)OC)C(=O)OCOC(=O)CCC,Clevidipine,142,324,163,,0.58,0.44,0.21,,0.0038,,,
O[C@@H]1[C@H](O)[C@@H](O)[C@@H](SC)O[C@@H]1[C@@H]([C@@H](Cl)C)NC(=O)[C@H]2N(C)C[C@@H](C2)CCC,Clindamycin,4.5,40,6.1,,0.79,1.4,0.86,,0.06,0.325,0.035,
c1cc(Cl)cc(c12)N(CCCN(C)C)c3c(CC2)cccc3,Clomipramine,8.2,,23.3,,13,,3.7,,0.029,,0.01,
C1CN(C)CCN1C(=c(c2=3)cccc2)Nc4c(N3)ccc(Cl)c4,Clozapine,2.5,77.5,,,1.6,8.68,,,0.055,,,
Clc1ccccc1C(=NCC(=O)N2)c(c23)cc([N+]([O-])=O)cc3,Clozepam,0.88,70.5,24,14.3,2.9,3.1,2.49,6.8,0.15,,0.18,0.1213
CCOC(=O)[C@H]([C@H](N1C)CC2)[C@H](C[C@@H]12)OC(=O)c3ccccc3,Cocaethylene,13,,42.2,,1.6,,2.68,,0.64,,,
[C@@H]12N(C)[C@@H](CC1)C[C@@H]([C@@H]2C(=O)OC)OC(=O)c3ccccc3,Cocaine,32,253,48.7,,2,16.4,2.6,,0.12,0.78,0.7598,
[C@@]123[C@@H]4[C@@H](O)C=C[C@H]2[C@H](N(C)CC3)Cc5c1c(O4)c(OC)cc5,Codeine,15,103.3,,,3.5,5.1,,,0.7,0.92,,
c1cc(OC)c(=O)cc([C@H](CC2)NC(=O)C)c1c(c23)c(OC)c(OC)c(c3)OC,Colchicine,2.1,34.3,,,6.1,31.4,,,0.61,0.72,,
ClCCN(CCCl)P1(=O)OCCCN1,Cyclophosphamide,1.1,11.1,20,,0.73,0.67,0.7,,0.87,,,
C/C=C/C[C@@H](C)[C@@H](O)[C@@H]1N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](C(C)C)NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C(=O)[C@@H](NC1=O)CC,Cyclosporine,7.5,1.7,8.1,,3.3,2.56,10.8,,0.068,0.0009,0.0001,
O[C@H]1[C@H](O)[C@@H](CO)O[C@H]1n2ccc(N)nc2=O,Cytarabine,41.67,,11.3,,0.67,,0.86,,,,,
N[C@@H](C)Cc1ccccc1,d-Amphetamine,9.7,90,7.1,,6.1,6.6,2.7,,0.8,0.59,0.73,
Nc1ccc(cc1)S(=O)(=O)c2ccc(N)cc2,Dapsone,0.48,5.2,,,0.83,1.6,,,0.25,,,
c1ccccc1C(C(=O)N)(c2ccccc2)[C@@H]3CCN(C3)CCc(cc4)cc(c45)CCO5,Darifecin,12,59,39,,2.6,7,6.8,,0.02,0.03,0.02,
OC[C@H]1O[C@H](C[C@@H]1O)n2c(=O)nc(N)nc2,Decitabine,130,7.9,8.6,,4.6,1.8,0.85,,1,1,1,
O=C1C=CC=CC1=C2NC(=C3C(=O)C=CC=C3)NN2c4ccc(cc4)C(=O)O,Deferasirox,0.84,6.2,,,0.2,0.46,,,,0.8,,
CNCCCN1c(cccc2)c2CCc(c13)cccc3,Desipramine,11,9.8,,,15,19.8,,,0.16,,,
c1cc(Cl)cc(c12)C(=NCC(=O)N2)c3ccccc3,Desmethyldiazepam,0.12,59.2,,,0.45,3.03,,,0.03,0.212,,
C1=CC(=O)C=C([C@]12C)CC[C@@H]3[C@]2(F)[C@@H](O)C[C@@]4(C)[C@H]3C[C@@H](C)[C@]4(O)C(=O)CO,Dexamethasone,3.3,3.2,6.4,,0.94,1.1,1.04,,0.32,0.08,0.2622,
Clc1ccc(cc1Cl)C(=O)N[C@H](CCC(=O)O)C(=O)N(CCCCC)CCCOC,Dexloxiglumide,3.7,6.01,30.7,,0.18,0.98,0.34,,0.024,0.0093,0.021,
[nH]1cncc1[C@@H](C)c2c(C)c(C)ccc2,Dexmedetomidine,11,59.4,,,1.6,3.24,,,0.06,,,
O=C1CN(CC(=O)N1)[C@@H](C)CN2CC(=O)NC(=O)C2,Dexrazoxane,3.1,,11.5,,0.55,,0.72,,1,,0.94,
c1cc(Cl)cc(c12)C(=NCC(=O)N2C)c3ccccc3,Diazepam,0.38,52.2,30.7,,1,11.6,,,0.023,0.1,,
Clc1cccc(Cl)c1Nc2c(CC(=O)O)cccc2,Diclofec,3.5,16.8,1.4,8.5,0.22,1.39,0.19,0.32,0.005,0.0056,0.0102,0.0042
OC[C@@H]1CC[C@@H](O1)n(cn2)c(c23)[nH]cnc3=O,Didanosine,11,150.5,25.3,27.2,0.77,1.3,0.96,1.3,0.95,,1,
Fc(c1)c(F)cc(c12)cc3c(n2)c4n(C3)c(=O)c5c(c4)[C@@](O)(CC)CC(=O)OC5,Diflomotecan,8.42,23,21.5,,1.42,2,2.1,,0.1257,,,
Fc1ccc(c(F)c1)-c2cc(C(=O)O)c(O)cc2,Diflunisal,0.1,1.52,,,0.1,0.15,,,0.0016,0.014,,
O=C1OCC(=C1)[C@H]2CC[C@@](O)([C@@]23C)[C@H]4[C@H](C[C@H]3O)[C@]5(C)[C@H](CC4)C[C@H](CC5)O[C@@H]6O[C@H](C)[C@H]([C@@H](O)C6)O[C@@H]7O[C@H](C)[C@H]([C@@H](O)C7)O[C@@H]8O[C@H](C)[C@@H](O)[C@@H](O)C8,Digoxin,1.7,18.7,1.9965,,4.1,16.9,,,0.7,,,
OCC(O)Cn(cn1)c(c12)c(=O)n(C)c(=O)n2C,Diprophylline,4.8,24.7,,,0.42,1.04,,,,,,
n1ccccc1C(C(=O)N)(CCN(C(C)C)C(C)C)c2ccccc2,Disopyramide,0.9,34,9.87,,0.52,,1.27,,0.16,,,
O=S(=O)(C)Nc1ccc(cc1)CCN(C)CCOc2ccc(cc2)NS(=O)(=O)C,Dofetilide,5.2,66.5,10.2,,3.3,2.28,3.03,,0.36,0.47,0.46,
N12C3CC(C(=O)C1)C[C@H]2CC(C3)OC(=O)c(c[nH]4)c(c45)cccc5,Dolasetron,180,72,27,77,2,26,,,,,0.5,0.5
O[C@H](C)[C@H]1C(=O)N([C@@H]12)C(C([O-])=O)=C([C@@H]2C)S[C@H]3C[C@H]([NH2+]C3)CNS(=O)(=O)N,Doripenem,3.26,35.7,4.7,7.7,0.23,0.27,0.26,0.3,0.92,0.65,0.9,0.94
c1cccc(c12)OC(CO2)C(=O)N3CCN(CC3)c(nc4N)nc(c45)cc(OC)c(c5)OC,Doxazosin,1.6,30,13,,1.3,3,5,,0.017,0.03,0.0653,
O[C@@H]1[C@H](C)O[C@H](C[C@@H]1N)O[C@@H](C[C@@](O)(C2)C(=O)CO)c(c23)c(O)c4c(c3O)C(=O)c5c(C4=O)c(OC)ccc5,Doxorubicin,15,32.4,7.926333333,,22,5.5,31.55,,0.28,,,
