CHEMISTRY,NAME,human_CL_mL_min_kg,rat_CL_mL_min_kg,dog_CL_mL_min_kg,monkey_CL_mL_min_kg,human_VDss_L_kg,rat_VDss_L_kg,dog_VDss_L_kg,monkey_VDss_L_kg,human_fup,rat_fup,dog_fup,monkey_fup
C1C[NH2+]CCN1c(c(F)c2)nc(c23)n(CC)cc(c3=O)C([O-])=O,Enoxacin,5.4,42.7,,,2,1.8,,,0.8,0.65,,
[nH]1cnc(c12)n(CCC)c(=O)[nH]c2=O,Enprofylline,4,12,2.4,,0.63,0.27,0.64,,0.55,0.19,0.61,
CCN(CC)C(=O)/C(C#N)=C/c1cc([N+]([O-])=O)c(O)c(O)c1,Entacapone,12,10.8,,,0.27,0.24,,,0.02,,,
O[C@H]1[C@H](C)O[C@H](C[C@@H]1N)O[C@@H](C[C@@](O)(C2)C(=O)CO)c(c23)c(O)c4c(c3O)C(=O)c5c(C4=O)c(OC)ccc5,Epirubicin,20,25.9,,,45,0.17,71.9,,0.25,,0.8078,
CCC#CC[C@H](C)[C@H](O)C#C[C@@H]([C@H](O)C1)[C@H]([C@H]12)CC(\C2)=C\COCCCC(=O)O,Eptaloprost,66.2,170,,63.1,2.4,1.5,,1.6,,,,
CCCCCC/C=C\CCCCCCCCCC(=O)N[C@@H]1[C@@H](OCC[C@H](OC)CCCCCCC)[C@H](OP(=O)(O)O)[C@@H](COC)O[C@H]1OC[C@H]2O[C@H](OP(=O)(O)O)[C@@H]([C@H]([C@@H]2O)OCCCCCCCCCC)NC(=O)CC(=O)CCCCCCCCCCC,Eritoran,0.01,0.25,0.02,,0.05,0.08,0.08,,,,,
O[C@H](C)[C@H]1C(=O)N([C@@H]12)C(C(=O)O)=C([C@@H]2C)S[C@H]3C[C@H](NC3)C(=O)Nc4cc(C(=O)O)ccc4,Ertapenem,0.45,10,,0.47,0.12,0.34,,0.17,0.1,,,
O[C@@H]1[C@@H](N(C)C)C[C@@H](C)O[C@H]1O[C@@H]([C@@]2(O)C)[C@@H](C)[C@H](O[C@@H](C3)O[C@@H](C)[C@H](O)[C@]3(C)OC)[C@@H](C)C(=O)O[C@H](CC)[C@](O)(C)[C@H](O)[C@@H](C)C(=O)[C@@H](C2)C,Erythromycin,5.6,73,19,31.6,0.95,9.3,2.4,8.24,0.1,0.22,0.22,0.5648
CC(C)NCC(O)COc1ccc(cc1)CCC(=O)OC,Esmolol,290,,1500,,1.2,,3.4,,0.59,0.71,0.62,
O[C@H]1CC[C@H]([C@@]12C)[C@H]3[C@H](CC2)c4c(CC3)cc(O)cc4,Estradiol,30,69,,,1.2,5.9,,,0.016,0.053,,
ClCCN(CCCl)C(=O)Oc(cc1)cc(CC2)c1[C@@H](CC3)[C@@H]2[C@@H]([C@]34C)CC[C@@H]4OP(=O)(O)O,Estramustine phosphate,0.94,,2,,0.12,,0.16,,,,,
OC[C@H](CC)NCCN[C@@H](CC)CO,Ethambutol,10,,13,,1.7,,3.8,,0.18,,,
C#C[C@]1(O)CC[C@H]([C@@]12C)[C@H]3[C@H](CC2)c4c(CC3)cc(O)cc4,Ethinylestradiol,7,55,25,36,4.3,5.7,17,7.2,0.014,0.0088,,0.0099
OS(=O)(=O)O[C@@]1(C#C)CC[C@H]([C@@]12C)[C@H]3[C@H](CC2)c4c(CC3)cc(O)cc4,Ethinylestradiol-17-Sulfate,1.3,,,13,0.61,,,8.7,,,,
OS(=O)(=O)Oc(cc1)cc(CC2)c1[C@@H](CC3)[C@@H]2[C@@H]([C@]34C)CC[C@@]4(O)C#C,Ethinylestradiol-3-Sulfate,4.7,,,39,2.3,,,21,0.011,,,
CCOC(=O)c1cncn1C(C)c2ccccc2,Etomidate,13,93,17,,2.7,4.03,1.9,,0.23,0.191,0.2152,
C1O[C@@H](C)O[C@H]([C@@H]12)[C@H](O)[C@@H](O)[C@@H](O2)O[C@H]3[C@@H](COC4=O)[C@H]4[C@@H](c(c35)cc6c(c5)OCO6)c7cc(OC)c(O)c(c7)OC,Etoposide,0.5,23,13,1.5,0.18,0.58,1.4,0.16,0.12,0.43,0.63,0.0051
O=S(=O)(N)N=C(N)CCSCc1nc(sc1)N=C(N)N,Famotidine,6.6,22,8.6,15,1.2,0.8,0.79,2.1,0.84,0.47,0.72,0.13
Clc1cccc(c1Cl)C2C(C(=O)OCC)=C(C)NC(C)=C2C(=O)OC,Felodipine,11,61,33,,4.4,15,5.4,,0.0036,0.005,0.005,
Oc1cc(cc(c1)O)C(O)CNC(C)Cc2ccc(O)cc2,Fenoterol,29,64,,,1.2,1.1,,,0.53,0.95,,
CSc1ccc(cc1)C(=O)c2[nH]c(=O)[nH]c2C,Fenoximone,29,,26,,1.8,,2.1,,0.3,,,
c1ccccc1N(C(=O)CC)C2CCN(CC2)CCc3ccccc3,Fentanyl,4.7,58,54,,0.89,3.8,4.7,,0.16,0.17,0.16,
CC(C)(C)NC(=O)[C@H]1CC[C@H]([C@@]12C)[C@H]3[C@H](CC2)[C@]4(C)[C@@H](CC3)NC(=O)C=C4,Fisteride,2.4,,2.1,,1.1,,0.36,,0.095,,0.18,
FC(F)(F)COc1cc(c(cc1)OCC(F)(F)F)C(=O)NCC2NCCCC2,Flecainide,4.9,34,24,,6.1,6.9,1.1,,0.52,0.41,0.3,
CN1CCN(CC1)c(c(F)c2)c(F)c(c23)n(CCF)cc(c3=O)C(=O)O,Fleroxacin,2.4,5.8,1.6,4,1.6,1.3,1.3,1.2,0.73,0.49,0.51,0.6072
c1ncnn1CC(O)(c(c(F)c2)ccc2F)Cn3ncnc3,Flucozole,0.31,4.2,0.65,,0.75,0.97,0.7,,0.89,0.9,0.89,
Fc1cnc(=O)[nH]c1N,Flucytosine,2,,2.4,,0.68,,0.64,,1,,,
c1cc(F)cc(c12)C(=O)N(C)Cc3n2cnc3C(=O)OCC,Flumazenil,16,147,16,,0.8,1.3,1,,0.58,,0.6848,
Fc1ccccc1C(=NCC(=O)N2C)c(c23)cc([N+]([O-])=O)cc3,Flunitrazepam,1.4,80,78,,1.9,3.8,3.4,,0.17,0.15,0.1723,
c1cccc(S2)c1N(c(c23)cc(C(F)(F)F)cc3)CCCN4CCN(CC4)CCO,Fluphezine,9.7,,15.4,,2.9,,5.5,,0.04,,,
OP(=O)(O)C(=O)O,Foscarnet,2.1,,3.62,,0.5,,0.65,,0.85,,,
OP(=O)(O)[C@H]1O[C@H]1C,Fosfomycin,2,,6.9,,0.32,,0.77,,1,,1,
O=S(=O)(N)c1cc(C(=O)O)c(cc1Cl)NCc2occc2,Furosemide,1.6,7,19.6,3.4,0.12,0.12,0.69,0.1,0.012,0.1,0.12,0.0289
OC(=O)CC1(CN)CCCCC1,Gabapentin,1.7,9.1,2.3,2.3,0.71,1.1,0.16,0.65,0.97,0.02,,0.02
C1=C[C@H](O)C[C@@H]([C@@]123)Oc4c2c(CN(C)CC3)ccc4OC,Galanthamine,5.6,31.7,12.3,,2.3,5.2,2.78,,0.83,0.75,0.9805,
C1N[C@H](C)c(c12)ccc(c2)-c(cc3)c(OC(F)F)c(c34)n(C5CC5)cc(c4=O)C(=O)O,Garenoxacin,1.23,12.1,2.43,3.39,1,0.9,1.29,0.96,0.25,0.13,0.23,0.19
CC1[NH2+]CCN(C1)c(c(F)c2)c(OC)c(c23)n(cc(c3=O)C([O-])=O)C4CC4,Gatifloxacin,2.8,19.3,4.2,10.2,1.7,2.5,2.11,1.85,0.8,0.75,0.84,0.83
Clc(c1)cc(Cl)c(c12)c(c([nH]2)C([O-])=O)/C=C/C(=O)Nc3ccccc3,Gavestinel,0.09,1.2,2.1,4.4,0.12,0.3,0.2,0.32,0.002,0.03,0.1,0.03
FC1(F)[C@H](O)[C@@H](CO)O[C@H]1n2ccc(N)nc2=O,Gemcitabine,32,5,10.76,177,1.5,1,1.41,5.5,1,0.93,0.7655,
OC1(C)C(NC)C(O)C(OC1)OC2C(O)C(C(N)CC2N)OC3OC(C(C)NC)CCC3N,Gentamicin,1,7.8,2.1,,0.33,0.33,0.33,,1,,,
O[C@H]1C(=O)O[C@H]2O[C@]([C@]34[C@@]125)([C@]6(O)[C@H](C3)OC(=O)[C@H]6C)C(=O)O[C@@H]4C[C@H]5C(C)(C)C,Ginkgolide A,2.3,65,,,0.62,4.3,,,,,,
O[C@H]1C(=O)O[C@H]2O[C@]([C@]34[C@@]125)([C@]6(O)[C@H]([C@@H]3O)OC(=O)[C@H]6C)C(=O)O[C@@H]4C[C@H]5C(C)(C)C,Ginkgolide B,2.3,60,,,0.91,3.5,,,,,,
C1CCCCC1NC(=O)NS(=O)(=O)c2ccc(cc2)CCNC(=O)c3ncc(C)nc3,Glipizide,0.56,1,,,0.16,0.3,,,0.02,,,
[C@H]12CCCC(N1C)CC(C2)NC(=O)c(nn3C)c(c34)cccc4,Granisetron,9.1,824,,,3.7,16.7,,,0.35,,,
Clc1ccc(cc1)C2(O)CCN(CC2)CCCC(=O)c3ccc(F)cc3,Haloperidol,7.8,86.2,32.9,7.8,17,10.4,37,3.7,0.08,0.24,,
O=C1N(C)C(=O)NC(=O)C1(C)C2=CCCCC2,Hexobarbital,3.4,40.6,,,1.1,2.5,,,0.53,,,
c1nnc(NN)c(c12)cccc2,Hydralazine,85,139,,,1.5,2.76,,,0.12,,0.29,
[C@@]123[C@@H]4C(=O)CC[C@H]2[C@H](N(C)CC3)Cc5c1c(O4)c(O)cc5,Hydromorphone,28,,71,,4.3,,5.8,,0.86,,,
Clc(c1)ccc(c12)c(ccn2)NC(C)CCCN(CC)CCO,Hydroxychloroquine,11,28.2,,,700,14.6,,,0.57,0.62,,
OC(=O)C(C)c1ccc(cc1)CC(C)C,Ibuprofen,0.82,4.8,0.49,,0.15,0.55,0.16,,0.006,0.055,0.04,
O[C@@H]1[C@H](C)O[C@H](C[C@@H]1N)O[C@@H](C[C@@](O)(C2)C(=O)C)c(c23)c(O)c4c(c3O)C(=O)c5c(C4=O)cccc5,Idarubicin,24,78.5,,,38,36.5,34.5,,0.076,,,
N1CCN=C1C(CO2)Oc(c23)cccc3,Idazoxan,10,71.2,,,3.3,3.1,,,,,,
OC(=O)CCc1ccccc1C[C@@H]([C@@H](O2)CC3)[C@@H]([C@H]23)c4occ(n4)C(=O)NCCCCC,Ifetroban,6.4,87.5,65,19.1,4.4,2.8,11,5.5,,,,
CC#CCC(C)[C@H](O)/C=C/[C@@H]([C@H](O)C1)[C@H]([C@H]12)CC(\C2)=C\CCCC(=O)O,Iloprost,16,32.4,67.2,,0.37,0.79,0.93,,0.4,,,
CN1CCN(CC1)Cc2ccc(cc2)C(=O)Nc3cc(c(C)cc3)Nc4nc(ccn4)-c5cccnc5,Imatinib,3.3,19.9,39,12,3.9,3.1,7.95,5.9,0.05,0.055,0.19,0.112
N/C=N/CCSC(C1)=C(C(=O)O)N([C@H]12)C(=O)[C@@H]2[C@H](O)C,Imipenem,3,14.5,4.3,5.7,0.24,0.24,32,0.28,0.86,1,1,0.975
CN(C)CCCN1c(cccc2)c2CCc(c13)cccc3,Imipramine,13,92.52,,,12,19.9,,,0.075,0.106,0.053,0.03
c1ccncc1CN2CCN([C@@H](C2)C(=O)NC(C)(C)C)C[C@@H](O)C[C@@H](Cc3ccccc3)C(=O)N[C@H]([C@H](O)C4)c(c45)cccc5,Indivir,18,89,15,35.7,0.82,2.2,0.73,1.45,0.36,0.065,0.1183,0.3
C1CCCCC1C[C@@H](NCC(=O)O)C(=O)N2[C@@H](CCCC2)C(=O)NCCCN=C(N)N,Inogatran,6.1,83,9,26,0.26,0.77,0.31,0.53,,0.76,0.76,0.76
I[C@@H]1[C@H](C)O[C@H](C[C@@H]1N)O[C@@H](C[C@@](O)(C2)C(=O)CO)c(c23)c(O)c4c(c3O)C(=O)c5c(C4=O)c(OC)ccc5,Iododoxorubicin,140,36.6,6.5,43.3,53.6,14,2.6,14,,,,
OCC(O)CN(C(=O)C)c1c(I)c(C(=O)NCC(O)CO)c(I)c(c1I)C(=O)NCC(O)CO,Iohexol,2,,4.2,,0.16,,0.18,,1,,,
OCC(O)CNC(=O)c1c(I)c(N(C)C(=O)CO)c(I)c(c1I)C(=O)NCC(O)CO,Iomeprol,1.4,7.4,3.4,,0.23,0.22,0.25,,,,,
OCC(CO)NC(=O)c1c(I)c(C(=O)NC(CO)CO)c(I)c(c1I)NC(=O)[C@@H](O)C,Iopamidol,1.9,,4.8,,0.28,,0.32,,1,,,
OCC(O)CN(C)C(=O)c1c(I)c(C(=O)NCC(O)CO)c(I)c(c1I)NC(=O)COC,Iopromide,1.4,,4.82,,0.22,,0.33,,0.99,,,
CC(C)[N+](C12)(C)C(CC1)CC(C2)OC(=O)C(CO)c3ccccc3,Ipratropium,31.4,90,41.6,,5.1,7.5,9.8,,0.9544,0.73,0.8008,
C1CCCCN1C2CCN(CC2)C(=O)Oc(cc3)cc(c34)c(CC)c5c(n4)c6n(C5)c(=O)c7c(c6)[C@@](O)(CC)C(=O)OC7,Irinotecan,7,55.7,3.9,13.3,3.5,4.3,1.01,2.5,0.51,,0.1754,0.1974
O[C@H]1[C@H](O)[C@@H](O)[C@H](C(=O)O)O[C@@H]1O[C@@H]2[C@@H](O)[C@H](O)[C@@H](C(=O)O)O[C@@H]2O[C@@H](CC3)C(C)(C)[C@@H]([C@]34C)CC[C@]5(C)[C@@H]4C(=O)C=C6[C@@]5(C)CC[C@]7(C)[C@H]6C[C@](C)(CC7)C(=O)O,Isoglycirrhizite,0.05,2.37,,,0.05,0.25,,,,0.05,,
[O-][N+](=O)O[C@@H]1CO[C@@H]([C@@H]12)[C@H](CO2)O[N+]([O-])=O,Isosorbide Dinitrate,31,122,180,58.8,1.9,2.6,3,1.7,0.72,,,
O[C@H]1CO[C@@H]([C@@H]12)[C@@H](CO2)O[N+]([O-])=O,Isosorbide-5-Mononitrate,2,2.5,6.9,,0.7,,0.82,,1,,,
c1ncnn1C[C@@]2(c(c(Cl)c3)ccc3Cl)O[C@H](CO2)COc4ccc(cc4)N5CCN(CC5)c6ccc(cc6)-n7c(=O)n(nc7)C(C)C([2H])([2H])C([2H])([2H])[2H],Itracozole,5.1,9.16,,,7.4,5.07,,,0.002,0.9,,
Clc1ccccc1C2(NC)CCCCC2=O,Ketamine,19,114.7,32.2,,2.9,3.68,2.5,,0.47,0.53,0.47,
Fc1ccc(cc1)C(=O)C2CCN(CC2)CCn(c(=O)[nH]3)c(=O)c(c34)cccc4,Ketanserin,6.7,3.8,24.7,,3.9,0.67,4.7,,0.055,0.01,0.0948,
OC(=O)C(C)c1cc(ccc1)C(=O)c2ccccc2,Ketoprofen,1.6,1.67,,,0.13,1.19,,,0.008,0.05,0.024,0.014
OC(=O)C1CCn(c12)c(cc2)C(=O)c3ccccc3,Ketorolac,0.35,3.6,1.25,,0.11,,0.33,,0.0068,,,
c1cccc(c12)CC[C@@H](NC(=O)CC(N)(C)C)C(=O)N2Cc3ccc(cc3)-c4c(cccc4)-c5n[nH]nn5,L-692429,3.05,2.7,19.3,5.7,0.2,0.15,0.34,0.16,,0.02,0.86,0.06
c1ccccc1C(C[C@H](C)N(C)C)([C@H](CC)OC(=O)C)c2ccccc2,L-Acetylmethadol,5.4,,28,,8.3,,5.9,,0.2,,,
OC(=O)COC1CCN(CC1)C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)c3ccc(cc3)/C(N)=N/[H],Lamifiban,1.9,9.5,7,2.6,0.29,0.24,0.75,0.29,0.94,,,
OC[C@H]1SC[C@H](O1)n2ccc(N)nc2=O,Lamivudine,4.8,72,22,12.6,1.3,,0.87,1.2,0.94,,,
N[C@H](C)Cc1ccccc1,l-Amphetamine,,66,,,,4.3,,,,,,
[C@@]123[C@@H]4[C@@H](O)CC[C@@]2(O)[C@H](N(CC3)CC5CCC5)Cc6c1c(O4)c(O)cc6,lbuphine,22,110.7,,,4.6,11,,,0.5,,,
N#Cc1ccc(cc1)C(n2ncnc2)c3ccc(C#N)cc3,Letrozole,0.57,0.66,,,1.9,2.02,,,0.41,,,
Fc1ccc(cc1)C2(C#N)CCC(CC2)N(C[C@H]3C)CC[C@]3(C(=O)O)c4ccccc4,Levocabastine,0.43,27,,,1.17,1.36,,,0.453,0.46,,
Oc1ccc(cc1O)C[C@H](N)C(=O)O,Levodopa,23,109,23.7,,1.7,,0.76,,0.76,,,
C#C[C@]1(O)CC[C@H]([C@@]12CC)[C@H]3[C@H](CC2)[C@@H]4C(CC3)=CC(=O)CC4,Levonorgestrel,1.8,1.3,,,1.5,0.74,,,0.025,,,
C[C@@H]1CC(=O)NN=C1c2ccc(cc2)NN=C(C#N)C#N,Levosimendan,3.8,,3.37,,0.24,,0.22,,0.02,,,
CCN(CC)CC(=O)Nc1c(C)cccc1C,Lidocaine,16,46.7,37,66,1.8,2.52,2.1,0.98,0.33,0.43,,0.392
CC(C)N1CCC(CC1)N(c2ccc(Cl)cc2)C(=O)Cc3ccccc3,Lorcainide,16,103,,,6.6,15.7,,,0.15,0.26,,
[C@@]123[C@@H]4C(=O)CC[C@@]2(O)[C@H](N(CC3)CC5CC5)Cc6c1c(O4)c(O)cc6,ltrexone,57,,90,54.5,7.6,,11,7.59,0.79,,,
c1cccc(c12)sc(n2)N(C)C3CCN(CC3)C[C@H](O)COc4cc(F)c(F)cc4,Lubeluzole,1.7,25,41.6,,2.6,4.24,1.47,,0.003,0.008,,
FC1(F)CCC(CC1)C(=O)N[C@H](c2ccccc2)CCN([C@@H]34)[C@H](CC3)CC(C4)n5c(C(C)C)nnc5C,Maraviroc,9.4,74,21,,2.3,2.53,2.32,,0.25,0.49,0.36,
Clc1cc(c(cc1)OC)[C@](F)(C(=O)N2)c(c23)ccc(c3)C(F)(F)F,Maxipost,15,43,3.5,,10,6.3,4.06,,0.0038,,0.0067,
CC(C)Oc1ccccc1N2CCN(CC2)Cc3cc(ccc3)C(=O)N4CCCCC4,Mazapertine,6.17,39.2,,,1.54,1.73,,,0.011,0.03,,
c1ccccc1C(=O)c(cc2)cc(c23)[nH]c(n3)NC(=O)OC,Mebendazole,15,9.8,,,1.2,2.6,,,0.086,,,
C1CCCCC1[C@@H](NCC(=O)O)C(=O)N2[C@@H](CC2)C(=O)NCc3ccc(cc3)/C(N)=N/[H],Melagatran,1.9,16.9,7,,0.23,0.39,0.36,,0.93,0.9,0.89,
c1cccc(c12)S(=O)(=O)N(C)C(=C2O)C(=O)Nc3sc(cn3)C,Meloxicam,0.12,0.25,0.17,,0.15,0.26,0.35,,0.003,0.004,0.03,
O[C@@H]1[C@H](C)O[C@H](C[C@@H]1N)O[C@@H]2[C@@H](O)C[C@@H](O[C@H]2C)O[C@@H](C[C@@](O)(C3)C(=O)CO)c(c34)c(O)c5c(c4O)C(=O)c6c(C5=O)cccc6,MEN-10755,2.5,10.8,18.3,,2.4,13.3,12,,,,,
C1CN(C)CCC1(C(=O)OCC)c2ccccc2,Meperidine,4.9,245,43,,2.3,9.2,2.4,,0.42,,,
Oc1cccc(c1)C2(CC)CCCCN(C2)C,Meptazinol,28,58.4,,,3.3,4.4,,,0.73,,,
CN(C)C(=O)[C@H]1[NH2+]C[C@H](C1)SC([C@@H]2C)=C(C([O-])=O)N([C@H]23)C(=O)[C@@H]3[C@H](O)C,Meropenem,3.9,26.4,4,7.5,0.3,0.14,0.22,0.23,0.87,0.5,0.7258,0.6661
COC(C)C(=O)N1CCN(CC1)c(nc2N)nc(c23)cc(OC)c(c3)OC,Metazosin,0.53,44.2,,,0.44,5.9,,,,,,
CN(C)/C(=N\[H])N=C(N)N,Metformin,7.4,16.8,,,0.64,0.54,,,1,,,
c1ccccc1C(C(=O)CC)(CC(C)N(C)C)c2ccccc2,Methadone,1.7,60,41.4,,4.4,8.28,7.6,,0.21,,,
CN[C@@H](C)Cc1ccccc1,Methamphetamine,4.4,126,,,4.3,9,,,0.85,0.92,,
OC(=O)CC[C@@H](C(=O)O)NC(=O)c1ccc(cc1)N(C)Cc(cn2)nc(c23)c(N)nc(n3)N,Methotrexate,2.1,10.5,0.587,,0.43,0.16,0.54,,0.37,0.68,,
c1ccccc1C(C(=O)OC)C2NCCCC2,Methylphenidate,0.55,53,,,2.2,3,,,0.85,,,
OCC(=O)[C@@]1(O)CC[C@H]([C@@]12C)[C@H]3[C@H]([C@@H](O)C2)[C@]4(C)C([C@H](C3)C)=CC(=O)C=C4,Methylprednisolone,6.1,62.1,,,1.2,1.4,,,0.23,,,
Nc1cc(OC)c(cc1Cl)C(=O)NCCN(CC)CC,Metoclopramide,5.7,48,23.1,,3.2,3.3,1.1,,0.6,0.4257,,
CC(C)NCC(O)COc1ccc(cc1)CCOC,Metoprolol,13,87.2,32.8,21.9,3.1,6.3,3.1,14,0.88,0.69,0.7562,0.8245
OCCn1c(C)ncc1[N+]([O-])=O,Metronidazole,0.85,5.8,2.5,,0.4,1.2,0.1,,0.96,0.96,0.9832,
OC(=O)[C@@H](C(S1)(C)C)N([C@H]12)C(=O)[C@H]2NC(=O)[C@@H](c3ccccc3)NC(=O)N4CCN(C4=O)S(=O)(=O)C,Mezlocillin,2.1,50,,,0.09,0.3,,,0.7,0.65,,
Fc(c1)ccc(c12)[C@H](C(C)C)[C@@](CC2)(OC(=O)COC)CCN(C)CCCc(n3)[nH]c(c34)cccc4,Mibefradil,4,94,18.4,,3.1,,9.7,,0.005,,,
OS(=O)(=O)Oc1c(O)ccc(c1)[C@H](O)[C@@H](O)[C@H](NC2=O)C(=O)N[C@@H]([C@H](O)CC(=O)N)C(=O)N(C[C@H](C)[C@@H]3O)[C@@H]3C(=O)N[C@H](O)[C@H](O)C[C@@H](C(=O)N[C@@H]([C@H](O)C)C(=O)N([C@H]24)C[C@@H](C4)O)NC(=O)c5ccc(cc5)-c6noc(c6)-c7ccc(cc7)OCCCCC,Micafungin,0.17,1,0.78,,0.21,0.38,0.25,,0.0023,0.002,0.002,
Fc1ccccc1C2=NCc(cnc3C)n3c(c24)ccc(Cl)c4,Midazolam,5.3,90,35.2,22.3,1.1,2.6,1.1,3,0.017,0.04,0.0223,0.1462
Oc1ccc(O)c(c12)C(=O)c3c(C2=O)c(NCCNCCO)ccc3NCCNCCO,Mitoxantrone,7.9,,10,,12,,26.6,,0.25,,,
COc1c(OC)cc(cc1OC)C[C@H](c(c23)cc(OC)c(c3)OC)[N+](C)(CC2)CCCOC(=O)CC/C=C/CCC(=O)OCCC[N+](C)(CC4)[C@@H](c(c45)cc(OC)c(c5)OC)Cc6cc(OC)c(OC)c(c6)OC,Mivacurium,5.2,9.9,3.47,,0.27,0.65,1,,0.7,,,
[C@@]123[C@@H]4[C@@H](O)C=C[C@H]2[C@H](N(C)CC3)Cc5c1c(O4)c(O)cc5,Morphine,26,57.9,61.1,45.4,2.3,14.9,4.1,2.6,0.65,0.86,0.88,0.81
Cn1nnnc1SCC(CO2)=C(C(=O)O)N([C@H]23)C(=O)[C@@]3(OC)NC(=O)C(C(=O)O)c4ccc(O)cc4,Moxalactam,0.72,9.1,2.2,2.3,0.17,0.25,0.2,0.19,0.39,1,0.66,1
N1CCC[C@H]([C@H]12)CN(C2)c(c(F)c3)c(OC)c(c34)n(C5CC5)cc(c4=O)C(=O)O,Moxifloxacin,2.4,42.5,3.7,11.5,1.4,3.6,2.7,4.9,0.6,0.63,0.71,0.62
Clc1nc(C)nc(OC)c1NC2=NCCN2,Moxonidine,11,50.1,,,1.8,3.2,,,0.93,,,
c1cc(F)cc(c12)CCC(O2)C(O)CNCC(O)C(O3)CCc(c34)cc(F)cc4,Nebivolol,14,49,,,11,6.2,,,0.02,0.015,,
Clc1cccc(c1)N2CCN(CC2)CCCn3nc(CC)n(c3=O)CCOc4ccccc4,Nefazodone,7.5,,26,,0.51,,3.24,,0.01,,,
O[C@@H]1[C@@H](CO)O[C@H]([C@H]1O)n(cn2)c(c23)nc(N)nc3OC,Nelarabine,81,,,42,4.9,,,1.3,0.8,,,
O[C@]1(C)[C@H](NC)[C@@H](O)[C@H](OC1)O[C@H]2[C@H](NCC)C[C@H](N)[C@H]([C@@H]2O)OC3OC(CN)=CCC3N,Netilmicin,0.55,,3.4,,0.07,,0.34,,1,,,
[O-][N+](=O)c1cccc(c1)C2C(=C(C)NC(C)=C2C(=O)OC)C(=O)OCCN(C)Cc3ccccc3,Nicardipine,11,163,37,27,1,1.9,2.39,1.23,0.01,0.084,0.062,0.06
CN1CCC[C@H]1c2cccnc2,Nicotine,18,46.3,42,,2.6,2.77,3.3,,0.95,,,
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c2c([N+]([O-])=O)cccc2,Nifedipine,7.3,5.9,12.3,,0.79,0.27,1.15,,0.044,0.035,,
[O-][N+](=O)c1cccc(c1)C2C(C(=O)OC(C)C)=C(C)NC(C)=C2C(=O)OCCOC,Nimodipine,15,19.6,18,33,1.1,5.5,3,3.62,0.016,0.03,0.03,0.095
COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c2c([N+]([O-])=O)cccc2,Nisoldipine,15,45.8,37.2,,5.5,0.89,4.1,,0.003,0.009,0.028,
[O-][N+](=O)c1ccc(o1)/C=N/N2CC(=O)NC2=O,Nitrofurantoin,9.7,22.7,,,0.57,0.34,,,0.17,0.48,,
C[NH+]1CCN(CC1)c2c(F)cc3c(=O)c(C([O-])=O)cn(c3c24)C(CO4)C,Ofloxacin,2.5,13.2,23.2,,1.6,1.42,1.3,,0.75,0.64,0.51,0.71
OC1C(N(C)C)CC(C)OC1OC(C(C)CC23OC2)C(C)C(OC4OC(C)C(O)C(C4)OC)C(C)C(=O)OC(C)C(C)C(O)C(C3=O)C,Oleandomycin,9.1,51,12,,0.77,6.8,1.6,,0.3963,0.46,0.1297,
COc(cc1)cc(c12)[nH]c(n2)S(=O)Cc3ncc(C)c(OC)c3C,Omeprazole,8.4,53,,,0.24,0.44,,,0.05,0.19,,
CCC(CC)O[C@@H]1C=C(C([O-])=O)C[C@H]([NH3+])[C@H]1NC(=O)C,Oseltamivir acid,4.8,25,5.3,,0.37,1.3,0.56,,0.97,,0.3039,
c1cc(Cl)cc(c12)C(=NC(O)C(=O)N2)c3ccccc3,Oxazepam,1.1,24.1,33,,0.59,2,,,0.04,0.09,,
[C@@]123[C@@H]4C(=O)CC[C@@]2(O)[C@H](N(C)CC3)Cc5c1c(O4)c(OC)cc5,Oxycodone,6.1,82,,,2.5,2.8,,,0.55,0.87,,
OC1=C(C(=O)N)C(=O)[C@@H](N(C)C)[C@@H]([C@@]12O)[C@@H](O)[C@H]3C(C2=O)=C(O)c4c([C@]3(O)C)cccc4O,Oxytetracycline,2,,1.47,,1.7,,1.01,,0.9,,,
c1ccccc1C(=O)O[C@H]([C@@]23O)[C@H]4[C@@](C)([C@@H](O)C[C@@H]5[C@]4(CO5)OC(=O)C)C(=O)[C@H](OC(=O)C)C(C2(C)C)=C(C)[C@H](C3)OC(=O)[C@H](O)[C@H](c6ccccc6)NC(=O)c7ccccc7,Paclitaxel,6.4,10.7,,6.2,3,3.1,,1.34,0.12,0.037,,0.0395
OP(=O)(O)C(O)(P([O-])(=O)O)CC[NH3+],Pamidronic acid,2.5,15.2,,,1.8,0.18,,,,,,
N/C(C)=[N+]1/C[C@H](CC1)SC(C2)=C(C([O-])=O)N([C@H]23)C(=O)[C@@H]3[C@H](O)C,Panipenem,2.6,27.7,4.85,6.52,0.19,0.2,0.21,0.3,,0.95,0.95,0.93
COc1c(OC)ccnc1CS(=O)c(n2)[nH]c(c23)cc(cc3)OC(F)F,Pantoprazole,2.2,8.5,,,0.17,0.35,,,0.02,,,
COc(c1)c(OC)cc(c12)c(ncc2)Cc3cc(OC)c(OC)cc3,Papaverine,11,,21.8,,0.95,,3.01,,0.073,0.09,0.1,
